old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
23120300,TV/냉장고/세탁기 > 브라운관TV > 중소브랜드,6223667,TV/냉장고/세탁기 > 브라운관TV > 중소브랜드,100.00%,high_confidence
23130100,TV/냉장고/세탁기 > 스피커 > 멀티채널,6223668,TV/냉장고/세탁기 > 스피커 > 멀티채널,100.00%,high_confidence
23160201,TV/냉장고/세탁기 > 양문형냉장고 > 대우 클라쎄 > 700L 이상,6223695,TV/냉장고/세탁기 > 양문형냉장고 > 대우 클라쎄 > 700L 이상,100.00%,high_confidence
23160301,TV/냉장고/세탁기 > 양문형냉장고 > 삼성 지펠 > 700L 이상,6223697,TV/냉장고/세탁기 > 양문형냉장고 > 삼성 지펠 > 700L 이상,100.00%,high_confidence
23080300,TV/냉장고/세탁기 > 김치냉장고 > 삼성 지펠 > 뚜껑형,6223645,TV/냉장고/세탁기 > 김치냉장고 > 삼성 지펠 > 뚜껑형,100.00%,high_confidence
23220400,TV/냉장고/세탁기 > 카세트/CDP > 포터블 카세트,6223735,TV/냉장고/세탁기 > 카세트/CDP > 포터블 카세트,100.00%,high_confidence
23200300,TV/냉장고/세탁기 > 일반세탁기 > 삼성,6223725,TV/냉장고/세탁기 > 일반세탁기 > 삼성,100.00%,high_confidence
23200400,TV/냉장고/세탁기 > 일반세탁기 > 중소브랜드,6223726,TV/냉장고/세탁기 > 일반세탁기 > 중소브랜드,100.00%,high_confidence
23200500,TV/냉장고/세탁기 > 일반세탁기 > 미니세탁기,6223727,TV/냉장고/세탁기 > 일반세탁기 > 미니세탁기,100.00%,high_confidence
23210100,TV/냉장고/세탁기 > 일반형냉장고 > LG,6223728,TV/냉장고/세탁기 > 일반형냉장고 > LG,100.00%,high_confidence
23210200,TV/냉장고/세탁기 > 일반형냉장고 > 대우,6223729,TV/냉장고/세탁기 > 일반형냉장고 > 대우,100.00%,high_confidence
23210300,TV/냉장고/세탁기 > 일반형냉장고 > 삼성,6223730,TV/냉장고/세탁기 > 일반형냉장고 > 삼성,100.00%,high_confidence
23210400,TV/냉장고/세탁기 > 일반형냉장고 > 중소브랜드,6223731,TV/냉장고/세탁기 > 일반형냉장고 > 중소브랜드,100.00%,high_confidence
23220100,TV/냉장고/세탁기 > 카세트/CDP > 공테이프/용품,6223732,TV/냉장고/세탁기 > 카세트/CDP > 공테이프/용품,100.00%,high_confidence
23220200,TV/냉장고/세탁기 > 카세트/CDP > 미니 카세트,6223733,TV/냉장고/세탁기 > 카세트/CDP > 미니 카세트,100.00%,high_confidence
23220300,TV/냉장고/세탁기 > 카세트/CDP > 캐릭터 카세트,6223734,TV/냉장고/세탁기 > 카세트/CDP > 캐릭터 카세트,100.00%,high_confidence
23220500,TV/냉장고/세탁기 > 카세트/CDP > 휴대용 CDP,6223736,TV/냉장고/세탁기 > 카세트/CDP > 휴대용 CDP,100.00%,high_confidence
23200100,TV/냉장고/세탁기 > 일반세탁기 > LG,6223723,TV/냉장고/세탁기 > 일반세탁기 > LG,100.00%,high_confidence
23220600,TV/냉장고/세탁기 > 카세트/CDP > CD카세트,6223737,TV/냉장고/세탁기 > 카세트/CDP > CD카세트,100.00%,high_confidence
23220700,TV/냉장고/세탁기 > 카세트/CDP > 카세트플레이어액세서리,6223738,TV/냉장고/세탁기 > 카세트/CDP > 카세트플레이어액세서리,100.00%,high_confidence
23230100,TV/냉장고/세탁기 > 프로젝터 > 강당용,6223739,TV/냉장고/세탁기 > 프로젝터 > 강당용,100.00%,high_confidence
23230200,TV/냉장고/세탁기 > 프로젝터 > 기타주변기기,6223740,TV/냉장고/세탁기 > 프로젝터 > 기타주변기기,100.00%,high_confidence
23230300,TV/냉장고/세탁기 > 프로젝터 > 램프/배터리팩,6223741,TV/냉장고/세탁기 > 프로젝터 > 램프/배터리팩,100.00%,high_confidence
23230400,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 벽걸이형,6223742,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 벽걸이형,100.00%,high_confidence
23230401,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 액자형,6223743,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 액자형,100.00%,high_confidence
23230402,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 전동형,6223744,TV/냉장고/세탁기 > 프로젝터 > 스크린 > 전동형,100.00%,high_confidence
23230500,TV/냉장고/세탁기 > 프로젝터 > 케이블/브라켓,6223745,TV/냉장고/세탁기 > 프로젝터 > 케이블/브라켓,100.00%,high_confidence
23230600,TV/냉장고/세탁기 > 프로젝터 > 포인터/리모콘,6223746,TV/냉장고/세탁기 > 프로젝터 > 포인터/리모콘,100.00%,high_confidence
23200200,TV/냉장고/세탁기 > 일반세탁기 > 대우,6223724,TV/냉장고/세탁기 > 일반세탁기 > 대우,100.00%,high_confidence
23190502,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 액세서리 기타,6223722,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 액세서리 기타,100.00%,high_confidence
23160400,TV/냉장고/세탁기 > 양문형냉장고 > 해외브랜드 > 700L 미만,6223698,TV/냉장고/세탁기 > 양문형냉장고 > 해외브랜드 > 700L 미만,100.00%,high_confidence
23180600,TV/냉장고/세탁기 > 오디오 > 해외/중소브랜드,6223709,TV/냉장고/세탁기 > 오디오 > 해외/중소브랜드,100.00%,high_confidence
23160401,TV/냉장고/세탁기 > 양문형냉장고 > 해외브랜드 > 700L 이상,6223699,TV/냉장고/세탁기 > 양문형냉장고 > 해외브랜드 > 700L 이상,100.00%,high_confidence
23170100,TV/냉장고/세탁기 > 업소용 냉장고 > LG,6223700,TV/냉장고/세탁기 > 업소용 냉장고 > LG,100.00%,high_confidence
23170200,TV/냉장고/세탁기 > 업소용 냉장고 > 대우,6223701,TV/냉장고/세탁기 > 업소용 냉장고 > 대우,100.00%,high_confidence
23170300,TV/냉장고/세탁기 > 업소용 냉장고 > 삼성,6223702,TV/냉장고/세탁기 > 업소용 냉장고 > 삼성,100.00%,high_confidence
23170400,TV/냉장고/세탁기 > 업소용 냉장고 > 중소 브랜드,6223703,TV/냉장고/세탁기 > 업소용 냉장고 > 중소 브랜드,100.00%,high_confidence
23180100,TV/냉장고/세탁기 > 오디오 > JVC,6223704,TV/냉장고/세탁기 > 오디오 > JVC,100.00%,high_confidence
23180200,TV/냉장고/세탁기 > 오디오 > LG,6223705,TV/냉장고/세탁기 > 오디오 > LG,100.00%,high_confidence
23180300,TV/냉장고/세탁기 > 오디오 > 삼성,6223706,TV/냉장고/세탁기 > 오디오 > 삼성,100.00%,high_confidence
23180400,TV/냉장고/세탁기 > 오디오 > 소니,6223707,TV/냉장고/세탁기 > 오디오 > 소니,100.00%,high_confidence
23180500,TV/냉장고/세탁기 > 오디오 > 인켈,6223708,TV/냉장고/세탁기 > 오디오 > 인켈,100.00%,high_confidence
23190100,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 가정용,6223710,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 가정용,100.00%,high_confidence
23190501,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 통합리모컨,6223721,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 통합리모컨,100.00%,high_confidence
23190101,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 업소용,6223711,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 업소용,100.00%,high_confidence
23190102,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 휴대용,6223712,TV/냉장고/세탁기 > 음향가전 > 노래방반주기 > 휴대용,100.00%,high_confidence
23190200,TV/냉장고/세탁기 > 음향가전 > 라디오(전용),6223713,TV/냉장고/세탁기 > 음향가전 > 라디오(전용),100.00%,high_confidence
23190300,TV/냉장고/세탁기 > 음향가전 > 마이크 > 무선마이크,6223714,TV/냉장고/세탁기 > 음향가전 > 마이크 > 무선마이크,100.00%,high_confidence
23190301,TV/냉장고/세탁기 > 음향가전 > 마이크 > 유선마이크,6223715,TV/냉장고/세탁기 > 음향가전 > 마이크 > 유선마이크,100.00%,high_confidence
23190302,TV/냉장고/세탁기 > 음향가전 > 마이크 > 전문가용마이크,6223716,TV/냉장고/세탁기 > 음향가전 > 마이크 > 전문가용마이크,100.00%,high_confidence
23190303,TV/냉장고/세탁기 > 음향가전 > 마이크 > 핀마이크,6223717,TV/냉장고/세탁기 > 음향가전 > 마이크 > 핀마이크,100.00%,high_confidence
23190304,TV/냉장고/세탁기 > 음향가전 > 마이크 > 마이크용품,6223718,TV/냉장고/세탁기 > 음향가전 > 마이크 > 마이크용품,100.00%,high_confidence
23190400,TV/냉장고/세탁기 > 음향가전 > 메가폰/확성기,6223719,TV/냉장고/세탁기 > 음향가전 > 메가폰/확성기,100.00%,high_confidence
23190500,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 스탠드,6223720,TV/냉장고/세탁기 > 음향가전 > 음향기기 액세서리 > 스탠드,100.00%,high_confidence
23080301,TV/냉장고/세탁기 > 김치냉장고 > 삼성 지펠 > 스탠드형,6223646,TV/냉장고/세탁기 > 김치냉장고 > 삼성 지펠 > 스탠드형,100.00%,high_confidence
23080201,TV/냉장고/세탁기 > 김치냉장고 > 대우 클라쎄 > 스탠드형,6223644,TV/냉장고/세탁기 > 김치냉장고 > 대우 클라쎄 > 스탠드형,100.00%,high_confidence
22190100,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 반제품/패턴,6223541,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 반제품/패턴,100.00%,high_confidence
22200000,침구/커튼/장식소품 > 홈데코 > 쿠션/방석 > 쿠션/방석커버세트,6223578,침구/커튼/장식소품 > 홈데코 > 쿠션/방석 > 쿠션/방석커버세트,100.00%,high_confidence
22191201,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 티슈커버/케이스 > 티슈케이스,6223568,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 티슈커버/케이스 > 티슈케이스,100.00%,high_confidence
22191300,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 패브릭원단,6223569,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 패브릭원단,100.00%,high_confidence
22191400,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 홈패브릭기타,6223570,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 홈패브릭기타,100.00%,high_confidence
22191500,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 의자커버,6223571,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 의자커버,100.00%,high_confidence
22191600,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 식탁커버,6223572,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 식탁커버,100.00%,high_confidence
22191700,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 식탁커버세트,6223573,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 식탁커버세트,100.00%,high_confidence
22191800,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 완제품,6223574,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 완제품,100.00%,high_confidence
